,gene,best_fit
6287,Tsku,other
6297,Tspyl3,other
6304,Ttc14,other
6332,Tubb5,other
6340,Tusc2,other
6345,Txlna,other
6355,Tymp,other
6360,Uap1l1,other
6362,Uba5,other
6379,Ube2j1,other
6382,Ube2q1,other
6384,Ube2r2,other
6395,Ubxd7,other
6404,Ugt1a1,other
6406,Ugt1a5,other
6408,Ugt1a6b,other
6419,Unc13c,other
6429,Uqcc,other
6431,Urod,other
6432,Uros,other
6433,Use1,other
6437,Usp15,other
6440,Usp19,other
6443,Usp3,other
6447,Usp39,other
6450,Usp43,other
6453,Usp53,other
6454,Usp54,other
6460,Uxt,other
6462,Vac14,other
6480,Vdr,other
6481,Vegfa,other
6486,Vhl,other
6494,Vmn2r-ps14,other
6499,Vps26a,other
6509,Vps8,other
6513,Vsig2,other
6515,Vwa5a,other
6520,Wbscr22,other
6527,Wdr45,other
6529,Wdr51b,other
6535,Wdr70,other
6536,Wdr73,other
6539,Wdr78,other
6546,Wif1,other
6551,Wnt4,other
6552,Wrn,other
6555,Wwc1,other
6560,Xbp1,other
6563,Xk,other
6578,Yme1l1,other
6579,Ypel3,other
6591,Zbtb38,other
6599,Zc3h14,other
6608,Zcchc12,other
6612,Zcchc6,other
6623,Zfand1,other
6632,Zfp148,other
6640,Zfp263,other
6641,Zfp27,other
6642,Zfp273,other
6643,Zfp277,other
6657,Zfp365,other
6659,Zfp36l1,other
6661,Zfp383,other
6666,Zfp422-rs1,other
6669,Zfp451,other
6675,Zfp508,other
6676,Zfp511,other
6682,Zfp533,other
6688,Zfp598,other
6691,Zfp61,other
6692,Zfp612,other
6697,Zfp637,other
6701,Zfp646,other
6708,Zfp68,other
6709,Zfp692,other
6718,Zfp809,other
6723,Zfp825,other
6724,Zfp93,other
6731,Zfyve27,other
6732,Zhx1,other
6752,Zranb3,other
6755,Zswim6,other
6757,Zyx,other
7037,3110043J09Rik,other
7351,Acsm4,other
8250,Clcc1,other
10120,LOC100046275,other
10154,LOC100047132,other
10213,LOC100048461,other
10246,LOC432709,other
10310,LOC636818,other
10361,LOC674089,other
10372,LOC675759,other
10703,Mgl2,other
12422,Snai2,other
12928,Tnfrsf17,other
2,0610007N19Rik,gamma
3,0610007P08Rik,gamma
5,0610007P22Rik,gamma
6,0610009D07Rik,gamma
8,0610010K06Rik,gamma
10,0610011F06Rik,gamma
14,0610038D11Rik,gamma
17,0610040J01Rik,gamma
18,100041294,gamma
19,1110001A07Rik,gamma
22,1110004F10Rik,gamma
