,gene,bimodal,expo,gamma,longtail,other,winner
489,4930434E21Rik,1.0,2.0,,,,expo
490,4930447A16Rik,,1.0,,,,expo
491,4930452B06Rik,1.0,1.0,,,3.0,other
492,4930453N24Rik,1.0,,,,2.0,other
493,4930455F23Rik,,,,,3.0,other
494,4930471M23Rik,,,1.0,,,gamma
495,4930481A15Rik,,,1.0,,,gamma
496,4930481B07Rik,,1.0,,,,expo
497,4930486L24Rik,,1.0,1.0,4.0,,longtail
498,4930488E11Rik,,1.0,,,,expo
499,4930503L19Rik,,1.0,,,5.0,other
500,4930505D03Rik,,1.0,,,,expo
501,4930506M07Rik,,,,,1.0,other
502,4930511J11Rik,,,1.0,1.0,2.0,other
503,4930513N10Rik,,1.0,,,,expo
504,4930515G01Rik,,1.0,,,,expo
505,4930522L14Rik,,2.0,1.0,,,expo
506,4930534B04Rik,,2.0,5.0,,1.0,gamma
507,4930535E21Rik,1.0,2.0,,,1.0,expo
508,4930538K18Rik,1.0,1.0,2.0,,,gamma
509,4930544G11Rik,,,1.0,,,gamma
510,4930544G21Rik,1.0,,,,,bimodal
511,4930547N16Rik,,,5.0,,,gamma
512,4930550C14Rik,,1.0,4.0,,,gamma
513,4930556M19Rik,,,1.0,,,gamma
514,4930563E22Rik,,1.0,2.0,,1.0,gamma
515,4930572J05Rik,,,1.0,,,gamma
516,4930573I19Rik,,,2.0,,4.0,other
517,4930578M01Rik,,,1.0,,,gamma
518,4930578N16Rik,,,,,3.0,other
519,4930579C12Rik,,,1.0,,,gamma
520,4930581F22Rik,,,1.0,,,gamma
521,4930583H14Rik,,,4.0,,1.0,gamma
522,4930589M24Rik,,,,,4.0,other
523,4930599N23Rik,,,2.0,,,gamma
524,4931406C07Rik,,3.0,1.0,,6.0,other
525,4931406G06Rik,,,1.0,,,gamma
526,4931406I20Rik,1.0,,1.0,,2.0,other
527,4931406P16Rik,,1.0,4.0,,,gamma
528,4931422A03Rik,,1.0,,,,expo
529,4931428F04Rik,,,5.0,,,gamma
530,4931431C16Rik,,,1.0,,,gamma
531,4931440B09Rik,,,,,1.0,other
532,4931440F15Rik,,,,,1.0,other
533,4932418E24Rik,,3.0,,,1.0,expo
534,4932438A13Rik,,,2.0,,,gamma
535,4932438H23Rik,2.0,1.0,5.0,,,gamma
536,4932441K18Rik,,,5.0,,,gamma
537,4933403G14Rik,,,1.0,,,gamma
538,4933405E24Rik,,,1.0,,,gamma
539,4933407H18Rik,,,,,4.0,other
540,4933407P14Rik,,,1.0,2.0,1.0,longtail
541,4933411K20Rik,,,1.0,,,gamma
542,4933412E14Rik,,,1.0,,,gamma
543,4933413G19Rik,,,2.0,,,gamma
544,4933417D19Rik,,1.0,,,,expo
545,4933421E11Rik,,,,,1.0,other
546,4933421O10Rik,,1.0,,,,expo
547,4933426M11Rik,,2.0,4.0,,,gamma
548,4933427D14Rik,,2.0,,,1.0,expo
549,4933427G23Rik,,,1.0,,,gamma
550,4933430I17Rik,,,4.0,,,gamma
551,4933431E20Rik,,,,1.0,,longtail
552,4933434E20Rik,,,2.0,,,gamma
553,4933434I06Rik,,,1.0,,,gamma
554,4933438A12Rik,,,1.0,,,gamma
555,4933439C10Rik,,,,,1.0,other
556,4933439C20Rik,,,1.0,,,gamma
557,4933440M02Rik,,1.0,,,,expo
558,4Cytl1,,,,,1.0,other
559,5031425E22Rik,,1.0,,,,expo
560,5031434O11Rik,,1.0,,,,expo
561,5031439G07Rik,,,,,1.0,other
562,5033414D02Rik,,,,,1.0,other
563,5033414K04Rik,,1.0,,,,expo
564,5133400G04Rik,,2.0,4.0,,,gamma
565,5133401N09Rik,,,1.0,,,gamma
566,5230400G24Rik,1.0,3.0,2.0,,,expo
567,5330401P04Rik,,,,,1.0,other
568,5330416C01Rik,,1.0,,,,expo
569,5330417C22Rik,,,1.0,,2.0,other
570,5330431N19Rik,,1.0,,,,expo
571,5330438D12Rik,,1.0,,,,expo
572,5430417L22Rik,,,,,2.0,other
573,5430421N21Rik,,,,,1.0,other
574,5430432M24Rik,,,2.0,,4.0,other
575,5430433G21Rik,,,,,1.0,other
576,5430435G22Rik,,1.0,3.0,,,gamma
577,5430437P03Rik,,,1.0,,,gamma
578,5630401D24Rik,,2.0,3.0,,2.0,gamma
579,5730403B10Rik,,,1.0,,3.0,other
