,gene,p,comp,f-test
409,Cep162,0.029802537426999454,expo_gamma,sig
410,Cep164,0.9995945523461728,expo_gamma,ns
411,Cep170,0.9989988050939786,expo_gamma,ns
412,Cep19,0.006631376573740799,expo_gamma,sig
413,Cep295,8.59026860711154e-06,expo_gamma,sig
414,Cep350,1.0,expo_gamma,ns
415,Cep57l1,0.0018943663897023066,expo_gamma,sig
416,Cep85l,0.9995195305750971,expo_gamma,ns
417,Cers4,0.06770589187441844,expo_gamma,ns
418,Cers6,0.0033222055781891857,expo_gamma,sig
419,Ces2b,0.07357667249293176,expo_gamma,ns
420,Cetn2,0.9964837796547504,expo_gamma,ns
421,Cfap157,0.01840695369942047,expo_gamma,sig
422,Cfap36,5.61413648902942e-09,expo_gamma,sig
423,Cfap77,0.21352961148515026,expo_gamma,ns
424,Cgas,0.051220569910117475,expo_gamma,ns
425,Cgrrf1,0.9988854796172115,expo_gamma,ns
426,Champ1,0.1856463367062834,expo_gamma,ns
427,Chd4,0.14434226034188624,expo_gamma,ns
428,Chd7,0.996928314725527,expo_gamma,ns
429,Chic1,0.44935159964080607,expo_gamma,ns
430,Chic2,0.041429851299878195,expo_gamma,sig
431,Chka,0.5352743776111506,expo_gamma,ns
432,Chmp5,1.967559448701195e-11,expo_gamma,sig
433,Chpf,0.015591385250479872,expo_gamma,sig
434,Chrac1,0.03702419252737699,expo_gamma,sig
435,Chrnb4,0.13060026051473683,expo_gamma,ns
436,Chrne,0.020689993723160494,expo_gamma,sig
437,Chst11,0.09102877660584696,expo_gamma,ns
438,Chst12,1.0,expo_gamma,ns
439,Chst2,1.0,expo_gamma,ns
440,Churc1,0.11436587167636847,expo_gamma,ns
441,Ciao1,9.113125227266927e-05,expo_gamma,sig
442,Ciao2b,1.0,expo_gamma,ns
443,Cish,0.10699589371346796,expo_gamma,ns
444,Cldn19,0.04521451592715264,expo_gamma,sig
445,Cldnd2,1.0,expo_gamma,ns
446,Clec11a,0.06850133538697567,expo_gamma,ns
447,Clec2d,0.16914509723574478,expo_gamma,ns
448,Clec2i,0.6892988527324605,expo_gamma,ns
449,Clip2,0.059537240316172024,expo_gamma,ns
450,Cln3,0.07151401569105065,expo_gamma,ns
451,Clp1,0.9988288614610745,expo_gamma,ns
452,Clpx,0.18091242929496498,expo_gamma,ns
453,Cltb,0.05579117164479486,expo_gamma,ns
454,Cluap1,1.0,expo_gamma,ns
455,Clybl,0.9993361923320336,expo_gamma,ns
456,Cmah,1.0,expo_gamma,ns
457,Cmklr1,1.0,expo_gamma,ns
458,Cnbp,0.055017580901333796,expo_gamma,ns
459,Cngb1,0.4468276537066125,expo_gamma,ns
460,Cnot6l,0.0006430463772889583,expo_gamma,sig
461,Cnp,0.018662784496259355,expo_gamma,sig
462,Cnppd1,0.4040727100385074,expo_gamma,ns
463,Cnpy2,0.008361200196214003,expo_gamma,sig
464,Cnr2,0.9971417554822217,expo_gamma,ns
465,Cntrl,0.6680370483864408,expo_gamma,ns
466,Col15a1,0.30589180880871736,expo_gamma,ns
467,Col5a3,0.2273551287867317,expo_gamma,ns
468,Commd5,1.0,expo_gamma,ns
469,Commd6,0.0019079430084161242,expo_gamma,sig
470,Commd8,1.0,expo_gamma,ns
471,Comtd1,1.0,expo_gamma,ns
472,Cops7a,0.534637474934526,expo_gamma,ns
473,Cops9,3.3306690738754696e-16,expo_gamma,sig
474,Coq10b,1.0,expo_gamma,ns
475,Coq2,3.275959503667991e-10,expo_gamma,sig
476,Coq5,0.09122691997304555,expo_gamma,ns
477,Coq6,0.01953119531693026,expo_gamma,sig
478,Cox10,1.36415989615557e-10,expo_gamma,sig
479,Cox11,0.02942757169257304,expo_gamma,sig
480,Cpeb2,0.005632978835433122,expo_gamma,sig
481,Cplane1,0.02296341725934614,expo_gamma,sig
482,Cpne7,0.06743278212741732,expo_gamma,ns
483,Cpsf3,1.0,expo_gamma,ns
484,Cpt2,0.02201399475461807,expo_gamma,sig
485,Cr1l,0.02783420456978758,expo_gamma,sig
486,Cramp1l,0.0777081783149498,expo_gamma,ns
487,Crbn,0.024459639259620025,expo_gamma,sig
488,Creb1,0.08156937291056898,expo_gamma,ns
489,Creb5,0.024067266722241354,expo_gamma,sig
490,Crem,1.3236947189021464e-05,expo_gamma,sig
491,Crk,0.026398920842133577,expo_gamma,sig
492,Crot,1.1102230246251565e-16,expo_gamma,sig
493,Crtam,0.011467515752884294,expo_gamma,sig
494,Crtap,1.044014416362593e-06,expo_gamma,sig
495,Crybg1,1.0,expo_gamma,ns
496,Csf2ra,0.00014727519892332452,expo_gamma,sig
497,Csf2rb2,0.0786922032980244,expo_gamma,ns
498,Csrnp1,0.003929223243995361,expo_gamma,sig
499,Csrp2,0.1413649336461983,expo_gamma,ns
500,Csrp3,0.11887906712218299,expo_gamma,ns
501,Cstf1,0.10122346978744545,expo_gamma,ns
502,Ctdspl,0.04263165775000344,expo_gamma,sig
503,Ctla2a,0.0,expo_gamma,sig
504,Ctnnbip1,0.9996385961736389,expo_gamma,ns
505,Ctnnbl1,0.03318343630365139,expo_gamma,sig
506,Ctsc,0.10363321966477301,expo_gamma,ns
507,Ctsg,8.358217269854862e-05,expo_gamma,sig
508,Ctsl,0.05503233251906703,expo_gamma,ns
509,Ctu1,0.9987487906298473,expo_gamma,ns
510,Ctu2,0.0,expo_gamma,sig
511,Ctxn1,0.031779217768737045,expo_gamma,sig
512,Cuedc2,0.28466263405866266,expo_gamma,ns
513,Cul3,0.12861764322818425,expo_gamma,ns
514,Cul4a,0.2682634001112366,expo_gamma,ns
515,Cul4b,9.511751505086874e-05,expo_gamma,sig
516,Cul5,0.11794709748728827,expo_gamma,ns
517,Cutc,0.5898415236530172,expo_gamma,ns
518,Cwc22,0.030376014125268025,expo_gamma,sig
519,Cwc25,0.031621931791632196,expo_gamma,sig
520,Cxcl2,1.0,expo_gamma,ns
521,Cxcr4,1.0,expo_gamma,ns
522,Cxcr5,8.13609180028152e-11,expo_gamma,sig
523,Cxcr6,0.00030762454390009797,expo_gamma,sig
524,Cxxc5,0.08420866922041637,expo_gamma,ns
525,Cyb561a3,0.09949841676038396,expo_gamma,ns
