,gene,best_fit
421,Apol11a,gamma
422,Apol11b,gamma
423,Apol8,gamma
425,Apool,gamma
429,Aqp1,gamma
430,Aqp4,gamma
431,Aqp9,gamma
433,Arap3,gamma
435,Areg,gamma
441,Arhgap23,gamma
447,Arhgap36,gamma
449,Arhgap40,gamma
450,Arhgap45,gamma
452,Arhgap8,gamma
459,Arhgef2,gamma
461,Arhgef4,gamma
462,Arhgef40,gamma
464,Arhgef6,gamma
468,Arl11,gamma
476,Armc12,gamma
482,Arnt2,gamma
488,Arrdc2,gamma
493,Art5,gamma
494,Artn,gamma
498,Asap1,gamma
500,Asap3,gamma
503,Asb17os,gamma
511,Atcay,gamma
520,Atic,gamma
522,Atl3,gamma
523,Atm,gamma
527,Atp10d,gamma
529,Atp12a,gamma
534,Atp2a3,gamma
535,Atp2b4,gamma
536,Atp4a,gamma
539,Atp5g3,gamma
545,Atp6v0d2,gamma
552,Atp8b1,gamma
555,Atr,gamma
564,B230206L02Rik,gamma
565,B230217C12Rik,gamma
569,B3galt1,gamma
574,B3gnt3,gamma
583,B4galt3,gamma
590,BB557941,gamma
593,BC028528,gamma
596,BC064078,gamma
597,BC065397,gamma
598,Babam1,gamma
599,Bace2,gamma
600,Bach1,gamma
602,Bahcc1,gamma
603,Bak1,gamma
606,Bank1,gamma
607,Barx1,gamma
608,Basp1,gamma
612,Bax,gamma
613,Baz1a,gamma
614,Bbof1,gamma
616,Bcam,gamma
622,Bcl2a1c,gamma
624,Bcl2l14,gamma
625,Bcl2l2,gamma
627,Bcl7c,gamma
629,Bdh1,gamma
634,Bhlha15,gamma
637,Bhlhe41,gamma
642,Birc2,gamma
644,Blk,gamma
645,Blmh,gamma
647,Bmerb1,gamma
648,Bmp10,gamma
649,Bmp2,gamma
650,Bmp2k,gamma
661,Bri3bp,gamma
663,Brpf3,gamma
665,Bsdc1,gamma
667,Bsn,gamma
669,Bst1,gamma
671,Btbd10,gamma
672,Btbd11,gamma
676,Btg1,gamma
677,Btg2,gamma
679,Btn1a1,gamma
680,Btnl10,gamma
683,C130074G19Rik,gamma
685,C1ql3,gamma
686,C1qtnf1,gamma
691,C1rl,gamma
693,C1s2,gamma
694,C2,gamma
698,C2cd4b,gamma
705,C5ar1,gamma
711,Cables1,gamma
712,Cachd1,gamma
715,Cacna1g,gamma
717,Cacna2d1,gamma
718,Cacna2d3,gamma
728,Calcr,gamma
729,Calcrl,gamma
732,Calhm3,gamma
736,Caly,gamma
739,Camk2g,gamma
744,Capg,gamma
745,Capn15,gamma
748,Capn5,gamma
754,Car2,gamma
755,Car8,gamma
757,Card9,gamma
758,Carmil1,gamma
760,Carns1,gamma
769,Casr,gamma
770,Cass4,gamma
775,Catsperz,gamma
781,Cbfa2t3,gamma
782,Cbln1,gamma
786,Cbx1,gamma
790,Cc2d1b,gamma
793,Ccar2,gamma
801,Ccdc152,gamma
802,Ccdc154,gamma
803,Ccdc157,gamma
804,Ccdc159,gamma
807,Ccdc183,gamma
808,Ccdc184,gamma
809,Ccdc186,gamma
810,Ccdc191,gamma
814,Ccdc33,gamma
817,Ccdc50,gamma
823,Ccdc85a,gamma
826,Ccl2,gamma
827,Ccl20,gamma
830,Ccl5,gamma
832,Ccl7,gamma
840,Ccnh,gamma
842,Ccnl2,gamma
844,Ccr1,gamma
848,Ccr9,gamma
856,Cd200r1,gamma
858,Cd200r4,gamma
859,Cd226,gamma
861,Cd24a,gamma
862,Cd276,gamma
865,Cd300lf,gamma
866,Cd36,gamma
870,Cd44,gamma
873,Cd52,gamma
874,Cd55os,gamma
875,Cd59a,gamma
876,Cd5l,gamma
889,Cdc14a,gamma
892,Cdc20b,gamma
900,Cdca7,gamma
901,Cdcp1,gamma
906,Cdh2,gamma
912,Cdk2ap1,gamma
915,Cdkal1,gamma
