,gene,best_fit
2101,Fbxl11,other
2107,Fbxl5,other
2108,Fbxl6,other
2109,Fbxl8,other
2113,Fbxo3.1,other
2117,Fbxo4,other
2118,Fbxo41,other
2127,Fchsd1.2,other
2138,Fert2,other
2144,Fgd6,other
2145,Fgf2,other
2148,Fgfr1op2,other
2151,Fgl2,other
2154,Fhod3,other
2156,Fip1l1.2,other
2159,Fkbp2,other
2162,Fkbpl.1,other
2164,Flad1,other
2168,Flot1,other
2170,Flt1,other
2172,Fmnl2,other
2181,Folr4.1,other
2186,Foxj3,other
2188,Foxn2,other
2190,Foxp2.3,other
2193,Foxp3.2,other
2196,Foxred1.2,other
2197,Foxred1.3,other
2200,Frag1.1,other
2201,Frag1.2,other
2204,Frg1,other
2205,Frmd8,other
2206,Frs2,other
2207,Frs3,other
2210,Fscn1,other
2213,Fubp3,other
2214,Fuk,other
2218,Fusip1.1,other
2219,Fut10.3,other
2232,Gab1,other
2238,Gadd45g.1,other
2249,Galnt3,other
2251,Galt.1,other
2266,Gba,other
2269,Gbp2.2,other
2272,Gbp6,other
2273,Gbp6.1,other
2282,Gdpd1,other
2287,Gemin7,other
2288,Gemin7.1,other
2289,Gfod2,other
2298,Ghrh,other
2310,Gipc1.1,other
2316,Gjd4.1,other
2319,Glb1,other
2320,Gldc,other
2330,Glt8d1.1,other
2332,Gltscr2,other
2336,Gm1574.2,other
2342,Gm414.1,other
2347,Gm867,other
2348,Gm885,other
2350,Gmds,other
2354,Gmppa.1,other
2356,Gna-rs1.1,other
2357,Gna11,other
2360,Gnaq.2,other
2363,Gnaz,other
2364,Gnb2,other
2365,Gnb2l1,other
2371,Gng2.1,other
2376,Gnpda1.1,other
2378,Gnptg,other
2379,Gns,other
2380,Golga2.2,other
2381,Golga3,other
2385,Golt1b,other
2386,Gorasp2.3,other
2391,Gpatch3,other
2392,Gpatch3.1,other
2394,Gpbp1,other
2395,Gpbp1.1,other
2397,Gpihbp1,other
2402,Gpr137,other
2403,Gpr137b,other
2404,Gpr137b.2,other
2405,Gpr155,other
2406,Gpr172b,other
2407,Gpr172b.1,other
2410,Gpr180,other
2427,Gpx7,other
2430,Grap,other
2432,Grhpr,other
2434,Grik5,other
2435,Grip1.2,other
2439,Grk5,other
2441,Grn,other
2443,Grpel2,other
2448,Gsg2,other
2450,Gstk1,other
2451,Gstk1.1,other
2453,Gstm4,other
2460,Gstz1,other
2461,Gtdc1,other
2462,Gtf2a1.2,other
2466,Gtf2ird2,other
2467,Gtf2ird2.2,other
2468,Gtf3c2.1,other
2470,Gtf3c3,other
2472,Gtpbp6,other
2473,Gtpbp8.1,other
2479,Gucy1a3.2,other
2480,Gucy1b3,other
2485,Gys1,other
2486,Gzf1,other
2487,Gzf1.1,other
2488,H13.2,other
2494,H2-Ab1.1,other
